Spp,Season,Yeartype,Code,Multiplier,Modifier_none
CACL,Spring,HF,CACL_Sp_HF,0.8,1
CACL,Spring,MF,CACL_Sp_MF,0.9,1
CACL,Spring,NE,CACL_Sp_NE,1,1
CACL,Spring,DR,CACL_Sp_DR,1,1
CACL,Summer,HF,CACL_Su_HF,1,1
CACL,Summer,MF,CACL_Su_MF,1,1
CACL,Summer,NE,CACL_Su_NE,0.5,1
CACL,Summer,DR,CACL_Su_DR,0.2,1
GIRO,Spring,HF,GIRO_Sp_HF,1,1
GIRO,Spring,MF,GIRO_Sp_MF,1,1
GIRO,Spring,NE,GIRO_Sp_NE,1,1
GIRO,Spring,DR,GIRO_Sp_DR,1,1
GIRO,Summer,HF,GIRO_Su_HF,1,1
GIRO,Summer,MF,GIRO_Su_MF,0.9,1
GIRO,Summer,NE,GIRO_Su_NE,0.5,1
GIRO,Summer,DR,GIRO_Su_DR,0.1,1
LECY,Spring,HF,LECY_Sp_HF,0.5,1
LECY,Spring,MF,LECY_Sp_MF,0.8,1
LECY,Spring,NE,LECY_Sp_NE,1,1
LECY,Spring,DR,LECY_Sp_DR,1,1
LECY,Summer,HF,LECY_Su_HF,1,1
LECY,Summer,MF,LECY_Su_MF,1,1
LECY,Summer,NE,LECY_Su_NE,1,1
LECY,Summer,DR,LECY_Su_DR,0.9,1